Date,Name,Year,Letterboxd URI
2021-04-04,What We Do in the Shadows,2014,https://boxd.it/7eQy
2021-04-04,Burning,2018,https://boxd.it/hHUa
2021-04-04,Hot Fuzz,2007,https://boxd.it/2416
2021-04-04,Game Night,2018,https://boxd.it/fRtu
2021-04-04,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2021-04-26,Promising Young Woman,2020,https://boxd.it/loRE
2021-04-26,Sound of Metal,2019,https://boxd.it/i7Q4
2021-04-26,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2021-05-01,Princess Mononoke,1997,https://boxd.it/2b4w
2021-05-01,Spirited Away,2001,https://boxd.it/2b4m
2021-05-01,Save Ralph,2021,https://boxd.it/ux2o
2021-05-02,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2021-05-02,Shutter Island,2010,https://boxd.it/1U82
2021-05-02,Shrek 2,2004,https://boxd.it/29z8
2021-05-02,The Dark Knight,2008,https://boxd.it/2b0k
2021-05-02,The Shining,1980,https://boxd.it/29Nu
2021-05-02,Black Panther,2018,https://boxd.it/8MHs
2021-05-02,Avengers: Infinity War,2018,https://boxd.it/9vEe
2021-05-02,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-05-02,Soul,2020,https://boxd.it/ioLA
2021-05-02,Se7en,1995,https://boxd.it/29zs
2021-05-02,Us,2019,https://boxd.it/gnV6
2021-05-02,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-05-02,Forrest Gump,1994,https://boxd.it/728
2021-05-02,Deadpool,2016,https://boxd.it/9fOC
2021-05-02,The Matrix,1999,https://boxd.it/2a1m
2021-05-02,Star Wars,1977,https://boxd.it/72s
2021-05-02,Inside Out,2015,https://boxd.it/4KHC
2021-05-02,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2021-05-02,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-05-02,The Avengers,2012,https://boxd.it/1xFW
2021-05-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2021-05-02,The Empire Strikes Back,1980,https://boxd.it/27Vw
2021-05-02,It,2017,https://boxd.it/bC8e
2021-05-02,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2021-05-02,Captain America: Civil War,2016,https://boxd.it/89Ja
2021-05-02,Zodiac,2007,https://boxd.it/27MO
2021-05-02,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2021-05-02,Logan,2017,https://boxd.it/7Piy
